Catalog,HIP,Proxy,RAhms,DEdms,Vmag,VarFlag,r_Vmag,RAdeg,DEdeg,AstroRef,Plx,pmRA,pmDE,e_RAdeg,e_DEdeg,e_Plx,e_pmRA,e_pmDE,DE:RA,Plx:RA,Plx:DE,pmRA:RA,pmRA:DE,pmRA:Plx,pmDE:RA,pmDE:DE,pmDE:Plx,pmDE:pmRA,F1,F2,---,BTmag,e_BTmag,VTmag,e_VTmag,m_BTmag,B-V,e_B-V,r_B-V,V-I,e_V-I,r_V-I,CombMag,Hpmag,e_Hpmag,Hpscat,o_Hpmag,m_Hpmag,Hpmax,HPmin,Period,HvarType,moreVar,morePhoto,CCDM,n_CCDM,Nsys,Ncomp,MultFlag,Source,Qual,m_HIP,theta,rho,e_rho,dHp,e_dHp,Survey,Chart,Notes,HD,BD,CoD,CPD,(V-I)red,SpType,r_SpType,Distance,AbsoluteMag,Temperature
H,1,,00 00 00.22,+01 05 20.4,9.1,,H,0.00091185,1.08901332,,3.54,-5.2,-1.88,1.32,0.74,1.39,1.36,0.81,0.32,-0.07,-0.11,-0.24,0.09,-0.01,0.1,-0.01,0.01,0.34,0.0,0.74,1,9.643,0.02,9.13,0.019,,0.482,0.025,T,0.55,0.03,L,,9.2043,0.002,0.017,87.0,,9.17,9.24,,,,,,,,1.0,,,,,,,,,,S,,,224700.0,B+00 5077,,,0.66,F5,S,282.4858757062147,1.8450163101289387,6471.667826414407
H,2,,00 00 00.91,-19 29 55.8,9.27,,G,0.00379737,-19.49883745,+,21.9,181.21,-0.93,1.28,0.7,3.1,1.74,0.92,0.12,-0.14,-0.24,-0.29,0.01,0.21,-0.02,-0.19,-0.28,0.14,2.0,1.45,2,10.519,0.033,9.378,0.021,,0.999,0.002,G,1.04,0.0,I,,9.4017,0.0017,0.015,120.0,,9.37,9.44,,C,,,,,,1.0,O,,,,,,,,,,,,224690.0,B-20 6688,,,1.04,K3V,4,45.66210045662101,5.972220574200591,4745.1404245925805
H,3,,00 00 01.20,+38 51 33.4,6.61,,G,0.00500795,38.85928608,,2.81,5.24,-2.91,0.53,0.4,0.63,0.57,0.47,0.06,0.09,0.04,0.43,-0.01,-0.06,0.03,0.24,0.07,0.21,0.0,-0.45,3,6.576,0.004,6.621,0.005,,-0.019,0.004,G,0.0,0.0,H,,6.6081,0.0007,0.008,127.0,,6.6,6.62,,C,,,00000+3852,I,1.0,1.0,,,,,,,,,,S,,,224699.0,B+38 5108,,,0.0,B9,S,355.87188612099646,-1.1464684004746006,10368.595587759473
H,4,,00 00 02.01,-51 53 36.8,8.06,,H,0.0083817,-51.89354612,,7.75,62.85,0.16,0.53,0.59,0.97,0.65,0.65,-0.22,-0.09,-0.03,0.24,0.2,0.08,0.18,0.08,-0.31,-0.18,0.0,-1.46,4,8.471,0.007,8.092,0.007,,0.37,0.009,T,0.43,0.01,L,,8.1498,0.0011,0.015,201.0,,8.12,8.18,,,,,,,,1.0,,,,,,,,,,S,,,224707.0,,,P-52 12237,0.43,F0V,2,129.03225806451613,2.5065085125315525,7044.130880250591
H,5,,00 00 02.39,-40 35 28.4,8.55,,H,0.00996534,-40.5912244,,2.87,2.53,9.07,0.64,0.61,1.11,0.67,0.74,0.1,0.24,0.06,0.26,-0.1,0.2,-0.16,-0.3,-0.19,0.06,0.0,-1.24,5,9.693,0.014,8.656,0.01,,0.902,0.013,T,0.9,0.01,L,,8.7077,0.0018,0.019,161.0,,8.68,8.74,,,,,,,,1.0,,,,,,,,,,,,,224705.0,,C-41 15372,P-41  9991,0.95,G8III,2,348.4320557491289,0.8394094836699626,4991.060700472375
H,6,,00 00 04.35,+03 56 47.4,12.31,,G,0.01814144,3.94648893,,18.8,226.29,-12.84,4.03,2.18,4.99,6.15,3.2,0.35,-0.01,0.03,-0.11,-0.02,0.47,-0.02,0.03,0.31,0.35,4.0,2.95,6,,,,,,1.336,0.02,G,1.55,0.03,I,,12.4488,0.0085,0.091,87.0,,12.3,12.6,,,,,,,,1.0,,,,,,,,,,,G,,,,,,1.55,M0V:,S,53.191489361702125,8.6807892463184,4058.1073480583973
H,7,,00 00 05.41,+20 02 11.8,9.64,,G,0.02254891,20.03660216,,17.74,-208.12,-200.79,1.01,0.79,1.3,1.13,0.82,0.32,0.08,-0.02,-0.04,0.12,0.06,0.11,0.0,0.16,0.43,0.0,0.21,7,10.542,0.039,9.679,0.03,,0.74,0.02,G,0.79,0.02,H,,9.6795,0.0021,0.017,104.0,,9.65,9.72,,C,,,,,,1.0,,,,,,,,,,,,,,B+19 5185,,,0.79,G0,S,56.369785794813986,5.8847680774785385,5468.4090187676065
H,8,,00 00 06.55,+25 53 11.3,9.05,3.0,H,0.0272916,25.88647445,,5.17,19.09,-5.66,1.7,0.93,1.95,1.54,0.88,0.27,-0.66,-0.36,-0.38,-0.12,0.36,-0.21,-0.24,0.32,0.18,0.0,0.98,8,10.433,0.055,9.151,0.029,,1.102,0.051,T,3.92,0.39,O,,8.5522,0.1671,1.46,77.0,,7.15,11.25,327.5,P,1.0,B,,,,1.0,,,S,,,,,,,,G,P,224709.0,B+25 5054,,,4.82,M6e-M8.5e Tc,G,193.42359767891685,2.617452715469713,4510.468346988966
H,9,,00 00 08.48,+36 35 09.4,8.59,,H,0.03534189,36.58593777,,4.81,-6.3,8.42,0.86,0.55,0.99,1.02,0.65,0.03,0.16,-0.01,0.0,0.07,-0.02,0.08,0.04,0.1,0.13,3.0,-1.26,9,9.962,0.025,8.711,0.015,,1.067,0.023,T,1.03,0.02,L,,8.7534,0.0018,0.014,107.0,,8.73,8.78,,C,,,,,,1.0,,,,,,,,,,,,,224708.0,B+35 5149,,,1.0,G5,S,207.9002079002079,2.0007253818691586,4587.424349968789
H,10,,00 00 08.70,-50 52 01.5,8.59,,H,0.03625309,-50.8670736,,10.76,42.23,40.02,0.77,0.73,1.1,0.98,0.82,-0.13,-0.24,0.11,0.01,-0.07,0.06,0.0,-0.18,-0.22,-0.13,0.0,0.82,10,9.14,0.011,8.63,0.01,,0.489,0.011,T,0.56,0.01,L,,8.6994,0.002,0.019,156.0,,8.66,8.75,,,,,,,,1.0,,,,,,,,,,S,,,224717.0,,C-51 13738,P-51 12065,0.51,F6V,2,92.9368029739777,3.7490613566518514,6439.201919103254
